id,gm_1_ws,gm_0.9_ws,gm_0.8_ws,gm_0.7_ws,gm_0.6_ws,gm_0.5_ws,gm_0.4_ws,gm_0.3_ws,gm_0.2_ws,gm_0.1_ws,gm_0_ws,wm_-0.5mm_ws,wm_-1mm_ws,wm_-1.5mm_ws,wm_-2mm_ws,wm_-2.5mm_ws,wm_-3mm_ws,wm_-3.5mm_ws,wm_-4mm_ws,gm_0mm_ps,gm_0.25mm_ps,gm_0.5mm_ps,gm_0.75mm_ps,gm_1mm_ps,gm_1.25mm_ps,gm_1.5mm_ps,gm_1.75mm_ps,gm_2mm_ps,gm_2.25mm_ps,gm_2.5mm_ps,gm_2.75mm_ps,gm_3mm_ps,gm_3.25mm_ps,gm_3.5mm_ps,gm_3.75mm_ps,gm_4mm_ps,gm_4.25mm_ps,gm_4.5mm_ps,gm_4.75mm_ps,gm_5mm_ps,gm_5.25mm_ps,gm_5.5mm_ps,gm_5.75mm_ps,gm_6mm_ps,gm_6.25mm_ps,gm_6.5mm_ps,gm_6.75mm_ps,gm_7mm_ps
11,0.69486105,0.85848904,0.9198478,0.9883178,1.1431615,1.2881808,1.370979,1.3455157,1.2684985,0.9787913,0.6128209,0.33521697,0.1074176,-0.123289935,-0.25103623,-0.16610546,-0.07540151,0.091497436,0.15003957,1.1067116,1.2486436,1.3912427,1.3583549,1.3016044,1.2943015,1.3160609,1.3095086,1.3098247,1.2825447,1.2129587,1.1609774,1.0908295,0.90736073,0.7336499,0.55983806,0.34022525,0.18633217,0.019979412,-0.13641757,-0.3412037,-0.42680213,-0.4663578,-0.5177518,-0.55818516,-0.57609135,-0.59171635,-0.54931056,-0.50854087
12,-1.1028391,-1.0535493,-0.87972367,-0.800552,-0.68892896,-0.6339305,-0.6591526,-0.71725106,-0.80472857,-0.8122632,-0.90204626,-0.83826107,-0.8449458,-0.89825326,-0.8726828,-0.8727031,-0.83359885,-0.7759309,-0.7709885,-1.0285429,-1.0677562,-1.0532902,-0.8925287,-0.7213804,-0.6156804,-0.6096776,-0.5432504,-0.48956323,-0.39235458,-0.28012976,-0.17116372,-0.038848754,0.08625603,0.14035991,0.12556599,0.09709063,0.040808767,-0.043158475,-0.14679077,-0.26869112,-0.3807325,-0.5100945,-0.58714855,-0.6906528,-0.7638067,-0.7937112,-0.81888384,-0.85769254
13,0.73741066,0.87289697,1.0446687,1.1538781,1.2637755,1.3275757,1.3359263,1.207806,1.1673063,1.0639386,1.0572075,0.85046095,0.7230291,0.521758,0.50789034,0.4535003,0.48856628,0.5288978,0.6006261,0.22382465,0.5154593,0.7302369,0.8910407,1.0848763,1.0953203,1.1189253,1.0369519,0.9518543,0.8085533,0.7149,0.5954069,0.5738091,0.5203816,0.53054506,0.49668875,0.4642348,0.49573362,0.47910377,0.4488016,0.39533034,0.45080832,0.4722647,0.5165213,0.5607925,0.58699304,0.6201888,0.640141,0.6683688
14,-0.12993872,-0.48317,-0.53300184,-0.5524048,-0.6287535,-0.6527484,-0.65117985,-0.69768655,-0.93571407,-1.1185311,-1.2833881,-1.4835501,-1.6336006,-1.724874,-1.7139046,-1.5355031,-1.3179803,-1.0808873,-0.9043664,-0.013167923,-0.21027514,-0.26967105,-0.35550734,-0.42345935,-0.46768543,-0.53451,-0.568854,-0.58771837,-0.60326815,-0.60579616,-0.58874536,-0.6398307,-0.68494487,-0.7131097,-0.7782515,-0.8478046,-0.9884173,-1.1158745,-1.2033074,-1.3046187,-1.386589,-1.4488027,-1.4556918,-1.4561454,-1.4313095,-1.4292964,-1.4135047,-1.3233119
15,0.91415614,1.1454406,1.2594022,1.4343405,1.4834535,1.4981096,1.5350541,1.3987348,1.2808988,1.1920869,0.9433888,0.6255642,0.44960368,0.380382,0.32246,0.38343757,0.46252105,0.5605837,0.5619501,0.9574278,1.2564042,1.4696199,1.5689993,1.5491142,1.6041436,1.5785836,1.5255328,1.4876951,1.4085481,1.2179754,1.0880084,1.0468633,0.9679093,0.86702514,0.83690935,0.77090824,0.7122611,0.7193977,0.65351105,0.5973948,0.5693078,0.55278563,0.51421,0.49228278,0.47243583,0.5302828,0.5497738,0.5259408
16,-0.1368576,-0.23889124,-0.34913436,-0.33546847,-0.35032728,-0.40493655,-0.4775318,-0.5790291,-0.812866,-1.0601013,-1.4045566,-1.6152552,-1.6129565,-1.5099399,-1.2528248,-1.008195,-0.79632527,-0.5573592,-0.40935206,-0.19341737,-0.24723904,-0.33614388,-0.37620693,-0.36607152,-0.35820776,-0.44928262,-0.52008516,-0.5237817,-0.572279,-0.609187,-0.66247386,-0.71875674,-0.7813845,-0.8442166,-0.8810393,-0.9078567,-0.9876909,-0.97715837,-0.9849644,-0.9660632,-0.9364693,-0.9012769,-0.8878582,-0.8404147,-0.7910297,-0.7475696,-0.6980159,-0.6630434
17,-0.53125167,-0.6402647,-0.65068614,-0.64425516,-0.6293644,-0.6671011,-0.6916282,-0.7292473,-0.6914284,-0.78295183,-0.91681683,-0.7873172,-0.88761824,-0.89619625,-0.86876386,-0.8353597,-0.7964066,-0.87733585,-0.951459,-0.33571178,-0.64285475,-0.70323676,-0.7372346,-0.6268427,-0.62628514,-0.52338463,-0.52107346,-0.4989423,-0.57221055,-0.571511,-0.4934184,-0.3958129,-0.38267037,-0.4424397,-0.48433027,-0.49484345,-0.50829166,-0.48693016,-0.48329806,-0.5150283,-0.5163936,-0.5178324,-0.54023236,-0.558978,-0.555071,-0.5442853,-0.5011742,-0.54392135
18,-1.1621914,-1.3347384,-1.3608625,-1.2708434,-1.1879048,-1.1873186,-1.1561296,-1.2409983,-1.4152534,-1.6697181,-1.9595509,-1.7407022,-1.7380477,-1.627487,-1.4376454,-1.2218626,-1.0219448,-0.86401117,-0.70443827,-1.137899,-1.2156737,-1.1828763,-1.1880369,-1.0619402,-0.95123285,-0.84680533,-0.8219492,-0.6507676,-0.535362,-0.37273312,-0.32014722,-0.26426116,-0.31186172,-0.41476592,-0.4637613,-0.60482496,-0.73983276,-0.818436,-0.9398684,-1.018156,-1.0422506,-1.0512412,-1.0558347,-1.116569,-1.1122781,-1.1071417,-1.1236256,-1.1089169
19,-0.3448269,-0.37947133,-0.30821988,-0.18915461,-0.06968999,-0.00720629,0.008183036,0.027269283,-0.07181805,-0.19750778,-0.33281896,-0.4027929,-0.4358864,-0.48600525,-0.4792206,-0.44825852,-0.4149191,-0.30800647,-0.23178127,-0.17989811,-0.13143964,-0.03248473,0.112916365,0.18612508,0.18325506,0.23881322,0.28982663,0.3449488,0.3610379,0.3725679,0.42012993,0.3826254,0.30158135,0.2420722,0.1974548,0.09666734,-0.060051486,-0.19483356,-0.329806,-0.44754213,-0.53443974,-0.59463483,-0.637214,-0.67404526,-0.6818496,-0.6937423,-0.68079835,-0.6868001
20,1.5507505,1.9221313,2.1019678,2.2527924,2.3463635,2.497062,2.5938442,2.5684912,2.3513439,2.067756,1.5536152,1.0713401,0.83806497,0.9010803,1.0241691,1.2683623,1.3934209,1.5164338,1.4884955,1.0984145,1.8402424,2.2140539,2.4528766,2.567227,2.5785365,2.5063155,2.470014,2.3830462,2.2819374,2.1273973,1.9736437,1.8089199,1.6081326,1.4224141,1.2169633,1.0067271,0.8121152,0.6865518,0.6173502,0.5677656,0.5155835,0.5156531,0.52074397,0.5377808,0.46987292,0.44942513,0.46344137,0.49069202
